Cognitive Distortion,N-Grams
Blame Others,blame them
Blame Others,he caused
Blame Others,she caused
Blame Others,they caused
Blame Others,he should be responsible
Blame Others,she should be responsible
Blame Others,they should be responsible
Blame Others,he should feel responsible
Blame Others,she should feel responsible
Blame Others,they should feel responsible
Blame Others,all his doing
Blame Others,all her doing
Blame Others,all their doing
Blame Others,all his fault
Blame Others,all her fault
Blame Others,all their fault
Blame Others,his bad
Blame Others,her bad
Blame Others,their bad
Blame Others,his responsibility
Blame Others,her responsibility
Blame Others,their responsibility
Comparing,i am more
Comparing,i am better
Comparing,i do more
Comparing,i did more
Comparing,i do better
Comparing,i did better
Comparing,he is more
Comparing,she is more
Comparing,she is better
Comparing,he is better
Comparing,they are better
Comparing,he does more
Comparing,she does more
Comparing,they do more
Comparing,he did more
Comparing,she did more
Comparing,they did more
Comparing,he did better
Comparing,she did better
Comparing,they did better
Filtering,I see only
Filtering,all I see
Filtering,all I can see
Filtering,can only think
Filtering,nothing good
Filtering,nothing right
Filtering,completely bad
Filtering,completely wrong
Filtering,only the bad
Filtering,only the worst
Filtering,if I just
Filtering,if I only
Filtering,if it just
Filtering,if it only
Filtering - Disqualifying the Positive,great but
Filtering - Disqualifying the Positive,good but
Filtering - Disqualifying the Positive,OK but
Filtering - Disqualifying the Positive,not that great
Filtering - Disqualifying the Positive,not that good
Filtering - Disqualifying the Positive,it was not
Filtering - Disqualifying the Positive,not all that
Filtering - Disqualifying the Positive,fine but
Filtering - Disqualifying the Positive,acceptable but
Filtering - Disqualifying the Positive,great yet
Filtering - Disqualifying the Positive,good yet
Filtering - Disqualifying the Positive,OK yet
Filtering - Disqualifying the Positive,fine yet
Filtering - Disqualifying the Positive,acceptable yet
Labelling,I am a
Labelling,he is a
Labelling,she is a
Labelling,they are a
Labelling,it is a
Labelling,that is a
Labelling,sucks at
Labelling,suck at
Labelling,I never
Labelling,he never
Labelling,she never
Labelling,you never
Labelling,we never
Labelling,they never
Labelling,I am an
Labelling,he is an
Labelling,she is an
Labelling,they are an
Labelling,it is an
Labelling,that is an
Labelling,a burden
Labelling,a complete
Labelling,a completely
Labelling,a huge
Labelling,a loser
Labelling,a major
Labelling,a total
Labelling,a totally
Labelling,a weak
Labelling,an absolute
Labelling,an utter
Labelling,a bad
Labelling,a broken
Labelling,a damaged
Labelling,a helpless
Labelling,a hopeless
Labelling,an incompetent
Labelling,a toxic
Labelling,an ugly
Labelling,an undesirable
Labelling,an unlovable
Labelling,a worthless
Labelling,a horrible
Labelling,a terrible
Regret Orientation,if only
Regret Orientation,i could have
Regret Orientation,i should have
Regret Orientation,i should not have
Should Statements,should
Should Statements,ought
Should Statements,must
Should Statements,have to
Should Statements,has to
Zooming - Catastrophizing,will fail
Zooming - Catastrophizing,will go wrong
Zooming - Catastrophizing,will be impossible
Zooming - Catastrophizing,will not happen
Zooming - Catastrophizing,will be terrible
Zooming - Catastrophizing,will be horrible
Zooming - Catastrophizing,will be a catastrophe
Zooming - Catastrophizing,will be a disaster
Zooming - Catastrophizing,will never end
Zooming - Catastrophizing,will not end
Zooming - Dichotomous Thinking,only
Zooming - Dichotomous Thinking,every
Zooming - Dichotomous Thinking,everyone
Zooming - Dichotomous Thinking,everybody
Zooming - Dichotomous Thinking,everything
Zooming - Dichotomous Thinking,everywhere
Zooming - Dichotomous Thinking,always
Zooming - Dichotomous Thinking,perfect
Zooming - Dichotomous Thinking,the best
Zooming - Dichotomous Thinking,all
Zooming - Dichotomous Thinking,not a single
Zooming - Dichotomous Thinking,no one
Zooming - Dichotomous Thinking,nobody
Zooming - Dichotomous Thinking,nothing
Zooming - Dichotomous Thinking,nowhere
Zooming - Dichotomous Thinking,never
Zooming - Dichotomous Thinking,worthless
Zooming - Dichotomous Thinking,the worst
Zooming - Dichotomous Thinking,neither
Zooming - Dichotomous Thinking,nor
Zooming - Dichotomous Thinking,either or
Zooming - Dichotomous Thinking,black or white
Zooming - Dichotomous Thinking,ever
Zooming - Magnification & Minimization,worst
Zooming - Magnification & Minimization,best
Zooming - Magnification & Minimization,not important
Zooming - Magnification & Minimization,not count
Zooming - Magnification & Minimization,not matter
Zooming - Magnification & Minimization,no matter
Zooming - Magnification & Minimization,the only thing
Zooming - Magnification & Minimization,the one thing
Zooming - Overgeneralizing,all of the time
Zooming - Overgeneralizing,all of them
Zooming - Overgeneralizing,all the time
Zooming - Overgeneralizing,always happens
Zooming - Overgeneralizing,always like
Zooming - Overgeneralizing,happens every time
Zooming - Overgeneralizing,completely
Zooming - Overgeneralizing,no one ever
Zooming - Overgeneralizing,nobody ever
Zooming - Overgeneralizing,every single one of them
Zooming - Overgeneralizing,every single one of you
Zooming - Overgeneralizing,I always
Zooming - Overgeneralizing,you always
Zooming - Overgeneralizing,he always
Zooming - Overgeneralizing,she always
Zooming - Overgeneralizing,they always
Zooming - Overgeneralizing,I am always
Zooming - Overgeneralizing,you are always
Zooming - Overgeneralizing,he is always
Zooming - Overgeneralizing,she is always
Zooming - Overgeneralizing,they are always
Other - Emotional Reasoning,but I feel
Other - Emotional Reasoning,since I feel
Other - Emotional Reasoning,because I feel
Other - Emotional Reasoning,but it feels
Other - Emotional Reasoning,since it feels
Other - Emotional Reasoning,because it feels
Other - Emotional Reasoning,still feels
