sentence,label,wc,sscore,nega,prosing,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
trauma is trauma,No,3,-0.866025404,66.66666667,0,18.82,50,1,1,3,0,100,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,33.33,0,0,0,0,0,66.67,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i had an issue last fall with constant diarrhea and stomach pain,No,12,-0.866025404,33.33333333,8.333333333,81.63,20.24,98.01,1,12,25,91.67,41.67,8.33,8.33,8.33,0,0,0,0,0,8.33,8.33,8.33,0,8.33,0,8.33,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,8.33,25,8.33,16.67,0,0,0,0,0,0,0,0,8.33,0,0,25,8.33,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that means a prevalent and highly infectious disease will have shorter vaccine trials because the control group will contract the disease at a higher rate than something less common,No,29,-0.854198556,10.34482759,0,89.42,50,47.93,25.77,29,34.48,79.31,44.83,6.9,0,0,0,0,0,0,6.9,13.79,6.9,10.34,0,6.9,0,13.79,17.24,13.79,0,0,6.9,0,0,0,0,0,0,3.45,0,0,0,0,17.24,3.45,6.9,0,3.45,0,3.45,0,0,0,0,10.34,0,10.34,0,0,10.34,3.45,0,6.9,0,0,0,6.9,6.9,13.79,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but i miss her so much dude,No,7,-0.850420064,14.28571429,14.28571429,1,50,13.15,1,7,0,100,57.14,28.57,28.57,14.29,0,0,14.29,0,0,0,0,0,14.29,28.57,0,14.29,0,0,0,0,14.29,14.29,0,14.29,0,0,14.29,28.57,0,14.29,14.29,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have also managed to mostly kick my drug addiction and alcoholism and have spent nearly 7 months sober,No,18,-0.848528137,33.33333333,11.11111111,2.97,14.62,19.27,25.77,19,15.79,94.74,52.63,10.53,10.53,10.53,0,0,0,0,0,0,5.26,10.53,15.79,15.79,0,26.32,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,10.53,0,0,0,0,0,0,15.79,0,15.79,0,5.26,5.26,0,0,5.26,0,0,10.53,15.79,0,5.26,0,0,5.26,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i learned a lot about myself in 2020 namely i have really bad anxiety when it comes to the unknown,No,19,-0.837367429,15.78947368,15.78947368,38.6,2.31,99,1,20,15,95,65,20,15,15,0,0,0,0,5,10,15,5,20,5,0,15,5,0,5,5,5,10,0,10,5,0,0,0,0,0,0,0,25,5,0,0,10,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,10,0,15,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i miss being social so much it hurts,No,8,-0.830850468,25,12.5,1,50,7.84,1,8,0,100,50,25,12.5,12.5,0,0,0,0,12.5,0,0,12.5,12.5,12.5,0,25,0,0,0,0,12.5,25,0,25,0,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i miss him so much that it hurts,No,8,-0.830850468,25,12.5,1,50,1,1,8,0,100,62.5,50,25,12.5,0,0,12.5,0,25,0,0,0,12.5,12.5,0,12.5,0,0,0,0,12.5,25,0,25,0,0,25,12.5,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my symptoms are mild but i am afraid they might get worse,No,12,-0.819115694,25,16.66666667,1,4.8,74.76,1,12,8.33,91.67,58.33,25,25,16.67,0,0,0,8.33,0,0,0,25,0,8.33,0,33.33,16.67,8.33,0,0,0,16.67,0,16.67,8.33,0,0,8.33,0,0,0,0,16.67,0,0,0,8.33,0,8.33,0,0,0,0,8.33,0,8.33,0,0,16.67,0,0,0,8.33,8.33,0,33.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i had a fever for 1 12 days she had a bad cough and lost smelltaste briefly,No,15,-0.800416558,26.66666667,6.666666667,59.32,50,6.2,1,17,11.76,88.24,52.94,11.76,11.76,5.88,0,0,5.88,0,0,11.76,5.88,11.76,5.88,5.88,0,17.65,0,0,0,11.76,0,11.76,0,11.76,0,0,5.88,5.88,0,0,5.88,0,0,0,0,0,0,0,0,5.88,0,0,0,11.76,0,11.76,0,0,11.76,0,5.88,0,0,5.88,17.65,0,0,11.76,5.88,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on sunday my arm was sore and i had some random short muscle aches but nothing obtrusive,No,17,-0.788362049,17.64705882,11.76470588,15.27,1,99,1,17,11.76,94.12,47.06,11.76,11.76,11.76,0,0,0,0,0,0,5.88,11.76,0,11.76,5.88,11.76,17.65,0,0,0,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,23.53,0,0,0,11.76,5.88,5.88,5.88,0,0,5.88,23.53,11.76,17.65,0,0,0,0,0,0,0,0,11.76,0,0,17.65,0,11.76,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am so scared i will still have to worry about the pandemic and wedding planning is stressful enough!,No,19,-0.630893268,26.31578947,10.52631579,6.56,29.92,19.27,1,19,21.05,89.47,63.16,10.53,10.53,10.53,0,0,0,0,0,5.26,10.53,21.05,15.79,10.53,0,26.32,5.26,0,0,0,0,15.79,0,15.79,15.79,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,5.26,0,0,0,0,21.05,10.53,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0
he developed the symptoms commonly associated with covid bad headache body achescough diarrhea and feeling tired,No,16,-0.7875,31.25,0,85.32,73.4,1,1,16,50,93.75,31.25,6.25,6.25,0,0,0,6.25,0,0,6.25,6.25,0,6.25,6.25,0,6.25,6.25,0,0,0,0,12.5,0,12.5,0,0,0,6.25,0,0,0,6.25,6.25,6.25,0,0,0,0,0,12.5,0,0,12.5,37.5,6.25,31.25,0,0,6.25,0,0,0,0,6.25,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have an anxiety disorder,No,5,-0.782623792,40,20,52.71,2.31,43.37,1,5,40,80,60,20,20,20,0,0,0,0,0,20,0,20,0,0,0,20,0,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i feel hurt and disappointed,No,5,-0.782623792,40,20,8.69,2.31,99,1,5,20,100,40,20,20,20,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,40,0,40,0,0,40,0,0,0,0,0,20,20,0,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i was especially worried about my grandma throughout this because she adamantly refused to stop going to church everyday,No,19,-0.780013495,21.05263158,10.52631579,35.06,70.08,50.35,1,19,42.11,94.74,63.16,26.32,15.79,10.53,0,0,5.26,0,10.53,0,21.05,5.26,10.53,5.26,0,10.53,5.26,0,0,0,0,5.26,0,5.26,5.26,0,0,15.79,5.26,0,10.53,0,15.79,0,5.26,0,0,10.53,0,0,0,0,0,0,0,0,0,0,15.79,5.26,0,5.26,0,5.26,5.26,0,5.26,15.79,5.26,0,10.53,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
however i stopped seen my physician once the pandemic started,No,10,-0.778710874,30,20,25.89,1,99,25.77,10,50,90,40,20,20,20,0,0,0,0,0,10,0,0,10,10,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,10,10,0,0,10,0,10,0,0,10,0,0,0,0,10,30,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so if we were to get tested regularly we would be missing work too much to stay open,No,18,-0.777817459,16.66666667,0,4.69,95.2,4.97,1,18,11.11,100,61.11,11.11,11.11,0,11.11,0,0,0,0,0,11.11,16.67,16.67,11.11,0,44.44,0,0,0,0,5.56,5.56,0,5.56,0,0,5.56,11.11,0,0,0,0,11.11,0,0,11.11,5.56,0,5.56,0,0,0,0,0,0,0,0,0,22.22,11.11,5.56,0,5.56,0,11.11,27.78,0,16.67,5.56,11.11,5.56,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it is just been a really sad and lonely time,No,10,-0.711512474,20,0,1.92,15.86,43.37,1,10,0,100,70,10,0,0,0,0,0,0,10,10,0,20,20,10,0,20,10,0,0,0,0,20,0,20,0,0,20,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have not been perfect by any stretch but i have generally taken the pandemic very seriously since early march,No,20,-0.749082772,5,10,15.77,1,99,25.77,20,25,95,65,10,10,10,0,0,0,0,0,5,10,15,15,5,5,20,10,0,0,0,5,10,5,5,0,0,0,0,0,0,0,0,30,0,5,0,10,5,10,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,15,0,20,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have health anxiety that can be bad at times and i have read people suffering pvcs tachycardia or worse from the vaccine,No,23,-0.729800449,17.39130435,8.695652174,35.67,19.23,54.89,1,23,17.39,86.96,52.17,13.04,8.7,8.7,0,0,0,0,4.35,4.35,8.7,17.39,0,8.7,0,21.74,4.35,4.35,0,0,0,17.39,0,17.39,4.35,0,4.35,4.35,0,0,0,0,4.35,0,0,0,4.35,0,4.35,0,0,0,0,4.35,0,4.35,0,0,8.7,0,0,0,0,8.7,0,21.74,0,8.7,0,4.35,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am high risk for covid due to medical issues,No,10,-0.74313525,20,10,93.26,15.86,93.3,1,10,10,80,40,10,10,10,0,0,0,0,0,0,20,10,0,0,0,10,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,20,0,0,10,0,10,0,10,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seems like someone with a pacemaker and copd might be high risk for a vaccine but is sorry for this term dead meat when it comes to the virus,No,29,-0.738138969,13.79310345,0,84.23,50,47.93,1,29,10.34,86.21,58.62,10.34,0,0,0,0,0,0,10.34,10.34,17.24,10.34,3.45,10.34,0,17.24,6.9,3.45,3.45,0,0,6.9,0,6.9,3.45,0,3.45,3.45,0,0,0,0,13.79,3.45,0,0,10.34,0,3.45,0,0,0,0,3.45,0,0,0,3.45,6.9,0,0,3.45,0,3.45,0,13.79,3.45,13.79,3.45,3.45,6.9,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but now i am really really nervous,No,7,-0.737030722,14.28571429,14.28571429,1,1,99,1,7,14.29,100,85.71,14.29,14.29,14.29,0,0,0,0,0,0,0,14.29,42.86,14.29,0,14.29,14.29,0,0,0,0,14.29,0,14.29,14.29,0,0,0,0,0,0,0,42.86,0,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
am i going to get anxious nervous scared or upset over the fact we could not go out and have fun for 2 years?,No,23,-0.729800449,17.39130435,4.347826087,72.69,20.24,91.31,1,24,8.33,95.83,54.17,8.33,8.33,4.17,4.17,0,0,0,0,4.17,16.67,12.5,0,8.33,4.17,25,20.83,0,0,4.17,0,20.83,4.17,16.67,16.67,0,0,4.17,0,0,0,0,16.67,0,0,4.17,4.17,4.17,8.33,0,0,0,0,0,0,0,0,0,12.5,4.17,0,4.17,4.17,0,0,16.67,4.17,20.83,8.33,8.33,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,4.17,0,0,0,0,0,0
achy body cough weird taste in his mouth,No,8,-0.724784451,37.5,0,93.26,89.42,1,1,8,0,87.5,25,12.5,12.5,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,12.5,0,12.5,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,50,25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are things likely looking much brighter than conservative guestimates would have us think?,No,13,-0.723883756,15.38461538,0,24.14,93.79,1.4,25.77,13,30.77,92.31,46.15,15.38,7.69,0,7.69,0,0,0,7.69,0,7.69,23.08,0,0,0,38.46,15.38,15.38,0,0,7.69,0,0,0,0,0,0,15.38,0,7.69,0,0,30.77,7.69,0,7.69,7.69,0,7.69,15.38,15.38,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,7.69,0,0,0,0,0,0
i made an appointment but i am really nervous about going,No,11,-0.689707201,9.090909091,18.18181818,13.54,1,99,1,11,18.18,90.91,63.64,18.18,18.18,18.18,0,0,0,0,0,9.09,9.09,9.09,18.18,9.09,0,27.27,9.09,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,27.27,0,9.09,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i have sneezed so much that my nose bled when i have contracted a cold,No,15,-0.722956891,20,20,1,2.31,82.75,25.77,15,13.33,80,60,26.67,20,20,0,0,0,0,6.67,6.67,0,13.33,13.33,13.33,0,13.33,6.67,0,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,6.67,6.67,6.67,0,0,0,0,0,0,0,0,0,0,13.33,0,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ever since the pandemic started my health anxiety and depression has peaked,No,12,-0.721687836,25,8.333333333,62.04,20.24,98.01,1,12,33.33,83.33,50,8.33,8.33,8.33,0,0,0,0,0,8.33,8.33,8.33,8.33,8.33,0,16.67,0,0,0,0,0,16.67,0,16.67,8.33,0,8.33,0,0,0,0,0,16.67,0,8.33,0,0,8.33,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,8.33,8.33,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are we reading too much into this or should we be concerned?,No,12,-0.721687836,16.66666667,0,1,99,1.79,25.77,12,16.67,100,75,25,16.67,0,16.67,0,0,0,8.33,0,8.33,25,8.33,8.33,0,33.33,0,0,0,0,8.33,8.33,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,8.33,8.33,0,8.33,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,16.67,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0
sudden violent vomiting,No,3,-0.721687836,66.66666667,0,93.26,50,98.01,1,3,66.67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,0,66.67,0,66.67,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
from my anxiety i still experience muscle tension aches and chest pains but it is quite mild and dies after a second or two which usually happen when i am laying down or have a bad posture,No,37,-0.688955056,16.21621622,8.108108108,20.61,5.26,92.7,1,37,13.51,94.59,56.76,13.51,8.11,8.11,0,0,0,0,5.41,5.41,8.11,8.11,8.11,16.22,0,16.22,2.7,2.7,5.41,5.41,0,13.51,0,13.51,5.41,0,0,0,0,0,0,0,13.51,0,0,0,10.81,0,8.11,8.11,0,0,5.41,10.81,5.41,8.11,0,0,5.41,0,0,2.7,0,2.7,0,13.51,0,13.51,0,2.7,10.81,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
then covid news hit last year sometime in june i got more issues even worse tinnitus tmj other random symptoms and staying home even more because of covid,No,28,-0.718132499,14.28571429,3.571428571,58.73,23.75,96.82,1,28,17.86,78.57,32.14,7.14,3.57,3.57,0,0,0,0,3.57,0,7.14,0,7.14,10.71,0,10.71,14.29,10.71,0,0,7.14,3.57,0,3.57,0,0,0,0,0,0,0,0,14.29,0,3.57,0,7.14,0,3.57,0,0,0,0,3.57,0,3.57,0,0,7.14,0,0,0,3.57,3.57,3.57,3.57,7.14,25,3.57,7.14,17.86,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
even something like ativan is very hit and miss because sometimes my anxiety is so high it can not calm me down and i end up more freaked out because the ativan makes me feel weird,No,36,-0.705,13.88888889,11.11111111,13.94,2.63,98.01,1,36,16.67,94.44,61.11,16.67,11.11,11.11,0,0,0,0,5.56,2.78,11.11,8.33,8.33,13.89,2.78,16.67,11.11,5.56,0,0,2.78,13.89,2.78,11.11,2.78,0,2.78,0,0,0,0,0,19.44,2.78,8.33,0,5.56,0,2.78,2.78,0,0,2.78,0,0,0,0,0,8.33,0,0,8.33,0,0,0,16.67,0,16.67,0,11.11,5.56,0,0,0,0,0,0,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depressed and angry all at once,No,6,-0.714434508,33.33333333,0,93.26,50,98.01,1,6,16.67,100,33.33,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,16.67,0,0,16.67,16.67,33.33,0,33.33,0,16.67,16.67,0,0,0,0,0,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i am finding tonight really bad and having trouble envisioning morning,No,11,-0.678400525,18.18181818,9.090909091,4.01,3.48,99,1,11,45.45,90.91,45.45,9.09,9.09,9.09,0,0,0,0,0,0,0,18.18,9.09,9.09,0,18.18,0,0,0,0,0,18.18,0,18.18,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,18.18,0,9.09,9.09,18.18,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
she came home but we have suffered from long covid,No,10,-0.711512474,10,0,25.89,97.69,43.37,1,10,10,90,50,20,20,0,10,0,10,0,0,0,10,10,0,10,0,30,0,0,0,0,0,10,0,10,0,0,10,20,0,0,10,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,20,10,0,20,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i will start this by saying i have an anxiety disorder,No,11,-0.527644853,18.18181818,18.18181818,32.58,18.16,85.21,1,11,18.18,90.91,63.64,27.27,18.18,18.18,0,0,0,0,9.09,9.09,9.09,18.18,0,0,0,36.36,0,0,0,0,0,9.09,0,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
